gmap_id1,address1,avg_rating1,latitude1,longitude1,name1,main_category1,description1,state1,url1,num_of_reviews1,price1,first_main_category1,region1,city1,hash_tag1
0x80c2c92115cda685:0x5b3afad3c49000cf,"In-N-Out Burger, 25220 The Old Rd, Newhall, CA 91321",4.7,34.3771178,-118.56535009999999,In-N-Out Burger,Food & Beverage,"Classic California-based burger chain serving customizable patties, hand-cut fries & thick shakes.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2c92115cda685:0x5b3afad3c49000cf?authuser=-1&hl=en&gl=us,4359,1.0,Food & Beverage,California,other,['Hamburger restaurant' 'Diner' 'Fast food restaurant']
0x809053517931ccdf:0xbcf15c111beb85b4,"Crows Landing Flea Market (el rematito, 3113 Crows Landing Rd, Modesto, CA 95358",4.3,37.588986,-120.9952211,Crows Landing Flea Market (el rematito,Retail,"Lively indoor-outdoor market with stalls for home goods, shoes, clothing, fruit, vegetables & more.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x809053517931ccdf:0xbcf15c111beb85b4?authuser=-1&hl=en&gl=us,3515,,Retail,California,Modesto,['Flea market']
0x80ecf1038ce4d9b3:0xddc5dce57cb8de0b,"Firestone Grill, 1001 Higuera St, San Luis Obispo, CA 93401",4.6,35.2810554,-120.6603882,Firestone Grill,Food & Beverage,"Popular spot known for its tri-tip sandwich & other BBQ dishes, served slathered in house sauce.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80ecf1038ce4d9b3:0xddc5dce57cb8de0b?authuser=-1&hl=en&gl=us,3188,2.0,Food & Beverage,California,other,['Restaurant']
0x808de422463d577b:0x5659afda53822437,"Portola Hotel & Spa at Monterey Bay, 2 Portola Plaza, Monterey, CA 93940",4.4,36.6016943,-121.89440119999999,Portola Hotel & Spa at Monterey Bay,Other,"Nautical-themed rooms & suites, some with balconies & ocean views, plus a spa, gym & brewery.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808de422463d577b:0x5659afda53822437?authuser=-1&hl=en&gl=us,2318,,Other,California,Monterey,['Hotel' 'Conference center' 'Event venue']
0x80c2cb8b01bdf6b7:0x122cb0948d9bf33d,"Bobos Burgers, 3390 E Imperial Hwy, Lynwood, CA 90262",4.4,33.930530499999996,-118.20890809999999,Bobos Burgers,Food & Beverage,,Open ⋅ Closes 11:15PM,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2cb8b01bdf6b7:0x122cb0948d9bf33d?authuser=-1&hl=en&gl=us,1073,1.0,Food & Beverage,California,Lynwood,['Hamburger restaurant' 'Restaurant']
0x80c2bbf618f5330d:0xd9e20fc579d10808,"Audi Beverly Hills, 8850 Wilshire Blvd, Beverly Hills, CA 90211",4.6,34.0666892,-118.3853645,Audi Beverly Hills,Service,,N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2bbf618f5330d:0xd9e20fc579d10808?authuser=-1&hl=en&gl=us,1198,,Service,California,Beverly Hills,['Audi dealer' 'Car dealer' 'Car leasing service']
0x80dcef52bc099459:0x4da476ceb78d7617,"Regal Edwards Aliso Viejo & IMAX, 26701 Aliso Creek Rd, Aliso Viejo, CA 92656",4.4,33.576347,-117.726765,Regal Edwards Aliso Viejo & IMAX,Other,"Movie theater chain known for presenting 3D films on a giant screen, including blockbusters.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcef52bc099459:0x4da476ceb78d7617?authuser=-1&hl=en&gl=us,1498,,Other,California,other,['Movie theater' 'IMAX theater']
0x80c2b55d7668b4c7:0x87f1438268ac183d,"Power Pro Plumbing Heating & Air, 18105 S Hobart Blvd, Gardena, CA 90248",4.9,33.8663405,-118.30834039999999,Power Pro Plumbing Heating & Air,Other,,Closed ⋅ Opens 8AM,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2b55d7668b4c7:0x87f1438268ac183d?authuser=-1&hl=en&gl=us,1945,,Other,California,Gardena,['Plumber' 'Air conditioning contractor' 'Heating contractor']
0x809adae7c96d14bb:0x79aa4ba7052183e8,"Denny's, 7900 College Town Dr, Sacramento, CA 95826",3.8,38.5550162,-121.4100328,Denny's,Food & Beverage,"Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x809adae7c96d14bb:0x79aa4ba7052183e8?authuser=-1&hl=en&gl=us,1285,1.0,Food & Beverage,California,Sacramento,['Diner' 'American restaurant' 'Breakfast restaurant']
0x80dd2d11a4ad3153:0x4b9172aa40c4dd16,"Pioneer Artesia Center, 11805 Artesia Blvd, Artesia, CA 90701",4.2,33.8735226,-118.08146169999999,Pioneer Artesia Center,Retail,"Strip-mall shopping plaza offers shops, services & fast-food joints, plus a dollar store & pharmacy.",Open 24 hours,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dd2d11a4ad3153:0x4b9172aa40c4dd16?authuser=-1&hl=en&gl,1073,,Retail,California,other,['Shopping mall']
0x80c2d723f5f8af05:0x295c72f08281f1b1,"Taco Nazo, 13032 Valley Blvd #1858, La Puente, CA 91746",4.6,34.052271,-118.00140429999999,Taco Nazo,Food & Beverage,Counter-serve eatery known for its fish tacos & other Baja-style Mexican food favorites.,N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2d723f5f8af05:0x295c72f08281f1b1?authuser=-1&hl=en&gl=us,2052,1.0,Food & Beverage,California,other,['Mexican restaurant']
0x80c349a555555555:0xf0ce970603745d8d,"Mor Furniture for Less, 12689 Foothill Blvd, Rancho Cucamonga, CA 91739",4.8,34.104869799999996,-117.5279235,Mor Furniture for Less,Retail,"Long-running family-owned chain stocking a range of name-brand home furnishings, bedding & decor.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c349a555555555:0xf0ce970603745d8d?authuser=-1&hl=en&gl=us,2267,,Retail,California,other,"['Furniture store' 'Bedroom furniture store' ""Children's furniture store""]"
0x80dcd9cf48d481f7:0x633002f1b7608373,"Picture Show at Main Place Mall, 2800 N Main St, Santa Ana, CA 92705",4.3,33.7753721,-117.87015009999999,Picture Show at Main Place Mall,Other,"Family-friendly movie theater with digital projection,  multiple screens & 3D capability.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcd9cf48d481f7:0x633002f1b7608373?authuser=-1&hl=en&gl=us,1236,,Other,California,Santa Ana,['Movie theater']
0x80c2c098a47d4245:0x3b9f3214123aa486,"The Greek Theatre, 2700 N Vermont Ave, Los Angeles, CA 90027",4.7,34.1195315,-118.2962896,The Greek Theatre,Other,"Historic, 5,900-seat amphitheater in a wooded park showcasing a variety of acts under the stars.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2c098a47d4245:0x3b9f3214123aa486?authuser=-1&hl=en&gl=us,3796,3.0,Other,California,Los Angeles,['Amphitheater' 'Concert hall' 'Tourist attraction']
